CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
204	212	8	0.8654	1.220
212	219	8	0.9922	0.000
75	201	8	0.8727	1.003
80	201	8	0.9935	0.000
149	201	8	0.9855	-0.223
180	201	8	0.9867	-0.223
190	201	8	0.9901	-0.232
201	202	8	0.8281	-1.003
201	204	8	0.8644	-0.997
201	219	8	0.9892	0.223
75	149	8	0.8815	1.226
80	149	8	0.9871	0.223
149	180	8	0.9862	0.000
149	190	8	0.9906	0.009
149	202	8	0.8474	-1.226
149	204	8	0.869	-1.220
149	219	8	0.9905	-0.000
75	204	8	0.9586	0.006
80	204	8	0.8646	-0.997
180	204	8	0.8774	-1.220
190	204	8	0.8734	-1.229
202	204	8	0.913	0.007
204	219	8	0.8682	1.220
75	180	8	0.8848	1.226
80	180	8	0.9861	0.223
180	190	8	0.9916	0.009
180	202	8	0.8369	-1.226
180	219	8	0.9905	-0.000
75	80	8	0.8697	1.003
75	190	8	0.8815	1.236
75	202	8	0.9263	-0.000
75	219	8	0.8773	1.226
80	190	8	0.9889	0.232
80	202	8	0.8264	-1.003
80	219	8	0.988	0.223
190	202	8	0.8381	-1.236
190	219	8	0.9939	-0.009
202	219	8	0.8309	1.226
387	407	9	0.9139	-28.031
407	484	9	0.7855	-154.136
407	507	9	0.8484	-208.183
378	385	9	0.7728	0.000
378	387	9	0.7223	-28.031
378	395	9	0.726	-2.016
378	400	9	0.9578	-28.031
378	455	9	0.8262	-154.136
378	468	9	0.7437	-156.151
378	471	9	0.8757	-182.167
378	477	9	0.8569	-208.183
378	493	9	0.8244	-210.198
378	500	9	0.8936	-236.214
400	500	9	0.8208	-208.183
455	500	9	0.8065	-82.078
471	500	9	0.8637	-54.047
477	500	9	0.7787	-28.031
493	500	9	0.8367	-26.016
500	507	9	0.8134	-28.031
387	507	9	0.8817	-236.214
484	507	9	0.78	-54.047
350	400	9	0.7204	-82.078
350	468	9	0.701	-210.198
379	387	9	0.7129	-6.049
387	484	9	0.7978	-182.167
373	385	9	0.8088	-26.016
373	395	9	0.8947	-28.031
373	405	9	0.7252	-54.047
385	395	9	0.9002	-2.016
395	400	9	0.7336	-26.016
395	405	9	0.7667	-26.016
