"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"353_440.28_5.6",353,440.277332144309,5.6315207,"C20H42NO7P"
"354_302.31_5.7",354,302.305399510809,5.678591,"C18H39NO2"
"355_299.31_5.7",355,299.305756090497,5.7031674,NA
"356_300.29_5.8",356,300.289733556063,5.815223,"C18H39NO3"
"357_348.2_5.8",357,348.201685095871,5.836583,"C17H27N5O4"
"358_304.18_5.9",358,304.175468905401,5.855591,"C14H27NO7"
"359_281.3_5.9",359,281.295110106613,5.884161,NA
"36_148.12_0.5",36,148.116013017668,0.45616096,"C7H17NS"
"360_286.31_5.9",360,286.310403618477,5.897953,"C18H39NO"
"361_466.29_5.9",361,466.29306099776,5.89868,"C22H44NO7P"
"362_242.28_5.9",362,242.284217389951,5.9119234,"C16H35N"
"363_179.11_6",363,179.106689417494,5.9504867,"C11H14O2"
"364_149.02_6",364,149.023423890062,5.97673,"C8H4O3"
"365_177.05_6",365,177.054691148787,5.97673,"C10H10O4"
"366_223.1_6",366,223.096521728406,5.97673,"C12H14O4"
"367_284.29_6",367,284.294780439305,6.003449,"C18H39NO2"
"368_284.33_6.2",368,284.331171340059,6.1511436,"C19H41N"
"369_311.19_6.2",369,311.185273755429,6.186108,"C17H26O5"
"370_554.35_6.3",370,554.34549851382,6.2927456,"C26H52NO9P"
"371_468.31_6.3",371,468.30867509854,6.304534,"C22H46NO7P"
"372_358.37_6.3",372,358.367909808944,6.322688,"C22H47NO2"
"373_426.26_6.4",373,426.261528791644,6.3969154,"C19H40NO7P"
"374_468.31_6.4",374,468.308654371802,6.4279604,"C22H46NO7P"
"375_288.25_6.5",375,288.253316462783,6.457025,"C16H33NO3"
"376_250.12_6.5",376,250.118656785313,6.478004,"C12H15N3O3"
"377_195.1_6.5",377,195.101691192153,6.485324,"C11H16O4"
"378_452.28_6.5",378,452.277394062644,6.5114717,"C21H42NO7P"
"379_474.26_6.5",379,474.25924619301,6.511657,"C21H42NO7P"
"380_494.32_6.5",380,494.324514290801,6.541777,"C24H48NO7P"
"381_516.31_6.5",381,516.305982797739,6.542378,"C24H48NO7P"
"382_140.07_6.6",382,140.068232347122,6.600897,NA
"383_265.18_6.6",383,265.179729993855,6.613176,"C16H24O3"
