CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
770	777	16	0.8441	117.997
770	788	16	0.8489	117.997
748	777	16	0.886	117.997
777	788	16	0.9381	0.000
777	796	16	0.9309	-162.054
794	820	16	0.9558	-0.001
806	820	16	0.9755	-0.000
794	806	16	0.9509	-0.000
796	806	16	0.9276	-280.049
748	801	16	0.7587	180.064
794	796	16	0.9146	280.049
788	796	16	0.9305	-162.054
264	762	17	0.8856	-0.000
451	762	17	0.8244	-37.981
541	762	17	0.9503	-0.000
615	762	17	0.8635	-0.000
729	762	17	0.7757	0.000
762	847	17	0.868	-14.016
264	847	17	0.7827	-14.016
443	847	17	0.7549	32.097
541	847	17	0.8473	-14.016
615	847	17	0.8133	-14.016
451	557	17	0.8294	-16.020
556	557	17	0.9734	1.003
264	295	17	0.8905	0.000
289	295	17	0.8086	-0.006
443	449	17	0.7508	1.032
443	645	17	0.7591	-0.000
443	648	17	0.7808	-43.990
443	858	17	0.7913	42.011
541	615	17	0.886	-0.000
264	541	17	0.8721	-0.000
451	541	17	0.8022	-37.981
478	541	17	0.785	-0.000
541	729	17	0.7722	-0.000
276	336	18	0.8038	-5.990
320	336	18	0.8258	-21.985
326	336	18	0.7282	-20.005
276	326	18	0.9253	14.015
320	326	18	0.8307	-1.980
276	320	18	0.8509	15.995
190	197	19	0.7754	2.015
192	197	19	0.919	28.032
184	185	19	0.8678	1.004
184	192	19	0.7376	3.019
179	185	19	0.9091	28.031
185	190	19	0.9376	28.032
185	192	19	0.8264	2.015
179	190	19	0.867	56.062
22	37	20	0.9556	56.062
26	37	20	0.9282	31.049
28	37	20	0.9917	28.031
35	37	20	0.9661	3.018
36	37	20	0.9572	2.014
37	40	20	0.9719	26.016
37	55	20	0.932	54.048
37	157	20	0.9703	208.183
37	842	20	0.8856	372.353
22	55	20	0.9628	110.110
26	55	20	0.9209	85.097
28	55	20	0.9322	82.079
35	55	20	0.9314	57.066
36	55	20	0.9507	56.062
40	55	20	0.9452	28.033
55	157	20	0.9318	154.135
55	842	20	0.9081	318.305
55	855	20	0.9068	268.297
22	35	20	0.9598	53.044
26	35	20	0.9471	28.031
28	35	20	0.9677	25.013
35	36	20	0.9648	1.004
35	40	20	0.9744	29.033
35	157	20	0.9628	211.201
35	842	20	0.8932	375.371
35	855	20	0.8941	325.364
22	40	20	0.9641	82.077
26	40	20	0.9424	57.064
28	40	20	0.9727	54.047
36	40	20	0.9608	28.029
40	157	20	0.9641	182.168
40	842	20	0.8949	346.338
40	855	20	0.8957	296.330
164	166	20	0.9405	-3.019
164	177	20	0.9657	26.016
164	181	20	0.955	22.997
164	182	20	0.961	24.001
164	196	20	0.9477	52.032
164	867	20	0.9333	153.200
851	857	20	0.911	-0.000
857	864	20	0.8847	-169.051
857	869	20	0.8379	-169.051
166	182	20	0.9408	27.020
177	182	20	0.9673	-2.014
181	182	20	0.98	1.004
182	196	20	0.9548	28.030
182	867	20	0.9415	129.199
157	867	20	0.9118	155.216
166	867	20	0.9112	156.219
177	867	20	0.9447	127.185
181	867	20	0.9263	130.203
196	867	20	0.9265	101.169
842	867	20	0.8877	-8.954
855	867	20	0.9025	41.054
26	27	20	0.8864	1.005
166	196	20	0.923	55.050
177	196	20	0.9471	26.016
181	196	20	0.9522	29.035
196	864	20	0.785	-81.897
22	157	20	0.9596	264.245
26	157	20	0.9302	239.232
28	157	20	0.9758	236.214
36	157	20	0.9494	210.197
157	842	20	0.9163	164.170
22	28	20	0.9629	28.031
26	28	20	0.9384	3.018
28	36	20	0.9624	26.017
28	842	20	0.8865	400.385
28	855	20	0.8863	350.377
22	26	20	0.9495	25.013
25	26	20	0.8985	22.998
26	36	20	0.9479	29.035
851	864	20	0.8419	-169.051
864	869	20	0.9243	-0.000
166	177	20	0.9262	29.034
177	181	20	0.9689	-3.018
22	855	20	0.9127	378.408
36	855	20	0.9067	324.359
842	855	20	0.9198	-50.008
166	181	20	0.9558	26.016
22	842	20	0.9173	428.415
36	842	20	0.9026	374.367
851	869	20	0.8	-169.051
22	36	20	0.9682	54.048
296	335	21	0.7388	14.015
476	490	22	0.7391	-0.000
101	114	23	0.8761	54.047
107	114	23	0.763	29.034
108	114	23	0.9477	28.031
111	114	23	0.8524	26.016
113	114	23	0.8091	14.016
114	119	23	0.9081	14.016
114	121	23	0.9563	28.032
114	221	23	0.7869	210.199
114	227	23	0.8659	238.230
114	229	23	0.8356	236.215
101	227	23	0.8478	292.277
102	227	23	0.7678	278.264
108	227	23	0.8022	266.261
111	227	23	0.8043	264.246
113	227	23	0.7657	252.246
119	227	23	0.8595	224.214
121	227	23	0.8963	210.198
221	227	23	0.8391	28.031
227	229	23	0.8428	-2.016
101	221	23	0.8389	264.246
102	221	23	0.7023	250.233
108	221	23	0.7865	238.230
119	221	23	0.7779	196.183
121	221	23	0.8193	182.168
221	229	23	0.7742	26.015
221	238	23	0.7471	54.047
91	102	23	0.8022	2.014
101	111	23	0.8726	28.030
102	111	23	0.889	14.018
107	111	23	0.8996	3.018
108	111	23	0.7907	2.014
111	113	23	0.7573	12.000
111	119	23	0.8271	40.032
111	121	23	0.85	54.048
111	260	23	0.8388	-43.989
101	119	23	0.8807	68.063
102	119	23	0.794	54.050
108	119	23	0.8607	42.047
113	119	23	0.8372	28.032
119	121	23	0.9264	14.015
119	229	23	0.8062	222.198
259	260	23	0.8827	28.031
101	259	23	0.9313	-43.989
101	121	23	0.8865	82.078
108	121	23	0.8639	56.062
113	121	23	0.8097	42.048
121	229	23	0.7984	208.183
121	238	23	0.7859	236.214
108	229	23	0.8411	264.245
113	229	23	0.7529	250.230
229	230	23	0.8941	-1.004
229	238	23	0.8737	28.031
101	102	23	0.8405	14.013
101	108	23	0.9237	26.016
101	113	23	0.8143	40.031
102	113	23	0.7527	26.018
107	113	23	0.754	15.018
108	113	23	0.8881	14.015
107	108	23	0.944	1.003
100	107	23	0.8822	28.026
107	110	23	0.8653	-2.007
107	115	23	0.7721	26.025
107	230	23	0.8229	264.245
100	115	23	0.819	54.051
110	115	23	0.8912	28.032
115	230	23	0.7597	238.220
100	110	23	0.9185	26.019
100	230	23	0.7762	292.271
110	230	23	0.8098	266.252
6	24	24	0.7222	28.031
455	578	25	0.7558	15.938
427	429	26	0.7821	33.985
427	474	26	0.8013	33.985
427	483	26	0.7586	33.984
429	474	26	0.8805	0.000
474	483	26	0.8629	-0.000
474	488	26	0.7504	-267.024
429	483	26	0.9383	-0.000
32	95	27	0.8408	-13.979
95	405	27	0.7178	0.000
163	252	28	0.9378	14.016
252	379	28	0.8578	-44.026
163	379	28	0.8611	-30.011
125	165	29	0.7883	-15.995
792	828	30	0.7428	14.016
193	195	33	0.8405	-18.011
132	195	33	0.9312	14.017
132	532	33	0.7031	-4.968
132	133	33	0.7154	18.011
766	786	34	0.718	0.000
142	151	35	0.8059	11.053
674	675	36	0.7929	187.028
89	362	39	0.7639	42.011
148	149	40	0.7549	-18.011
542	543	44	0.7073	-18.010
103	485	44	0.8294	-18.011
293	485	44	0.7438	91.045
484	485	44	0.8958	-18.011
103	484	44	0.9219	-0.000
484	542	44	0.7265	-13.980
103	542	44	0.7419	-13.980
300	542	44	0.8663	0.000
293	312	44	0.9236	-0.000
262	363	45	0.8653	-2.052
262	366	45	0.7768	-36.037
262	438	45	0.8793	11.963
331	438	45	0.7638	50.015
363	438	45	0.8841	14.016
366	438	45	0.7685	48.000
257	331	45	0.7657	14.016
360	363	45	0.7832	-0.057
17	60	46	0.8837	2.016
60	90	46	0.8576	28.032
60	131	46	0.9123	56.063
10	17	46	0.7086	14.016
17	38	46	0.9608	28.031
17	74	46	0.9474	56.063
38	74	46	0.9315	28.032
74	131	46	0.9058	2.016
10	38	46	0.7322	42.047
38	90	46	0.8666	2.016
90	131	46	0.9107	28.031
301	661	47	0.7238	-4.052
301	693	47	0.7822	60.984
750	751	48	0.8139	-3.000
446	454	50	0.8839	-27.995
339	506	51	0.731	13.982
506	527	51	0.7758	0.033
339	527	51	0.921	14.015
44	283	52	0.9045	14.016
375	384	54	0.8654	89.061
267	322	56	0.7359	3.035
607	632	58	0.7114	14.016
466	467	59	0.9241	18.011
466	481	59	0.8545	-0.000
467	481	59	0.8413	-18.011
391	402	60	0.8358	1.057
515	553	62	0.7985	15.977
662	665	63	0.9165	43.042
608	687	65	0.8216	16.032
652	656	66	0.9074	43.042
657	664	66	0.7639	43.043
656	664	66	0.8184	111.030
435	436	68	0.7842	0.071
865	870	69	0.7331	-0.000
841	856	70	0.7411	41.054
850	856	70	0.9881	0.000
856	859	70	0.9462	0.000
841	850	70	0.7253	41.054
850	859	70	0.9499	0.000
294	423	75	0.7057	16.965
62	64	76	0.7759	-0.973
763	781	79	0.7328	-17.956
757	763	79	0.907	-1.043
207	208	80	0.794	17.026
97	387	81	0.7058	264.245
280	387	81	0.7446	236.214
120	147	81	0.7278	-28.030
97	141	81	0.703	28.031
120	141	81	0.7242	-54.047
141	280	81	0.7917	-0.000
141	390	81	0.7699	238.230
97	280	81	0.7274	28.031
120	280	81	0.724	-54.047
280	390	81	0.7239	238.230
168	358	84	0.786	-15.995
162	279	86	0.7891	0.000
162	353	86	0.7332	0.000
162	439	86	0.7318	-0.000
279	353	86	0.7989	-0.000
353	439	86	0.7495	-0.000
279	439	86	0.8041	-0.000
109	116	87	0.7074	28.031
209	214	94	0.8268	0.997
189	307	97	0.8801	-1.979
277	327	99	0.8628	14.015
593	595	102	0.8352	0.974
340	528	105	0.7026	14.016
