formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C16H30N2O8	[M - H2O + H]+	C16H29N2O7+	0.391	0.320	63.354	60.619	2.734	19	0.686	-0.565	2.920	-49861.838		361.198	110	1.834	695994798659412011	695994644548094100	51	
1	C21H42NO2	[M + Na]+	C21H42NNaO2+	0.993	0.999	83.774	81.378	2.396	21	0.422	6.414	6.414	-0.482		363.311	110	1.836	695994776966469666	695994644627785880	52	
1	C36H72NO8P	[M + H]+	C36H73NO8P+	1.000	1.000	21.498	21.498	0.000	5	0.730	-0.259	1.830	-0.916	PC(14:0_14:0)	678.506	110	1.837	695994771572594320	695994644669728924	53	
1	C10H23NO	[M + H]+	C10H24NO+	0.782	0.500	35.553	33.625	1.927	8	0.583	5.410	6.671	2.808		174.186	110	1.838	695994771287381626	695994644728449184	54	
1	C36H70NO8P	[M + H]+	C36H71NO8P+	1.000	1.000	8.736	8.736	0.000	3	0.884	-2.346	3.973	-0.268		676.491	110	1.841	695994771560011407	695994644791363748	55	
1	C20H47N4O5	[M + H]+	C20H48N4O5+	0.874	0.435	88.970	88.970	0.000	29	0.614	3.272	3.272	3.648		424.363	110	1.841	695994776081471435	695994644862666920	56	
1	C13H23NO4	[M - H2O + H]+	C13H22NO3+	0.975	0.333	128.453	128.453	0.000	15	0.541	1.976	3.926	-74993.936		240.159	111	1.850	695994780221249923	695994644925581484	57	
1	C11H25BFNO2S	[M + H3N + H]+	C11H29BFN2O2S+	1.000	1.000	154.498	154.498	0.000	25	0.446	2.763	2.997	2.708		282.207	113	1.877	695994779948620073	695994644963330224	58	
1	C16H31NO5	[M - H2O + H]+	C16H30NO4+	0.797	0.237	108.588	105.051	3.537	18	0.526	0.276	1.639	-59991.675		300.217	113	1.877	695994780217055599	695994645001078964	59	
1	C16H35NO4	[M - H2O + H]+	C16H34NO3+	1.000	0.333	66.841	63.503	3.338	11	0.609	2.974	4.408	-62479.699		288.254	113	1.884	695994782305819230	695994645034633400	60	
1	C7H13NO4	[M - H2O + H]+	C7H12NO3+	1.000	0.333	41.246	41.246	0.000	6	0.432	0.473	1.710	-113927.802		158.082	113	1.886	695994798864932971	695994645076576444	61	
1	C11H21NO6	[M - H2O + H]+	C11H20NO5+	0.948	0.333	105.824	105.824	0.000	28	0.675	3.458	3.458	-73171.275		246.134	113	1.891	695994790182722938	695994645114325184	62	
1	C16H27NO5	[M - H2O + H]+	C16H26NO4+	0.765	0.010	135.028	131.480	3.548	26	0.568	0.616	3.927	-60807.273		296.186	114	1.906	695994800903364980	695994645156268228	63	
1	C13H11NO3	[M + H3N + H]+	C13H15N2O3+	0.998	0.333	116.278	114.820	1.458	27	0.697	0.081	3.188	-0.440		247.108	114	1.907	695994800525877551	695994645206599880	64	
1	C17H26O6	[M + H3N + H]+	C17H30NO6+	0.574	0.333	83.063	79.611	3.453	24	0.822	2.107	2.808	1.208		344.207	115	1.910	695994792330206753	695994645248542924	65	
1	C10H10O3	[M + H3N + H]+	C10H14NO3+	0.999	0.329	77.508	75.413	2.095	12	0.388	2.549	2.549	1.021		196.097	116	1.928	695994799397609624	695994645290485968	66	
