"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
4	"C18H32O16"	"[M + Na]+"	"C18H32NaO16+"	"Carbohydrates"	1	"Saccharides"	1	"Disaccharides"	0.991	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	1	"Oligosaccharides"	0.8	"Oligosaccharides"	0.8	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Oligosaccharides; Ethers; Primary alcohols; Organooxygen compounds; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; C-glycosyl compounds; O-glycosyl compounds; Polyols; Tetrahydrofurans; Oxacyclic compounds; Hydrocarbon derivatives; Ketals; Organic oxygen compounds; Chemical entities"	527.159	406	6.769	695995111860687488	695994675002938368	791	NA	791
1	"C12H27N5O4"	"[M - H2O + H]+"	"C12H26N5O3+"	"Amino acids and Peptides"	1	"Small peptides"	1	"Dipeptides"	0.999	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	1	"Peptides"	0.993	"Dipeptides"	0.964	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"	288.203	411	6.858	695994988992742784	695994675028104192	792	NA	792
1	"C23H28N4O7S"	"[M + H3N + H]+"	"C23H32N5O7S+"	"Carbohydrates"	0.705	"Nucleosides"	0.576	"Pyrimidine nucleosides"	0.524	"Organic oxygen compounds"	1	"Organooxygen compounds"	0.988	"Carbohydrates and carbohydrate conjugates"	0.842	"Glycosyl compounds"	0.867	"Glycosylamines"	0.665	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Secondary alcohols; Oxanes; Glycosyl compounds; Glycosylamines; Benzene and substituted derivatives; Benzenoids; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	522.203	413	6.88	695995055413743232	695994675053270016	793	NA	793
1	"C11H18N4O6"	"[M + Na]+"	"C11H18N4NaO6+"	"Amino acids and Peptides"	0.983	"Small peptides"	0.978	"Dipeptides"	0.701	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.997	"Amino acids, peptides, and analogues"	0.979	"Amino acids and derivatives"	0.978	"N-acyl-alpha amino acids"	0.529	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carbonyl compounds; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	325.113	413	6.882	695995022433929856	695994675187487744	797	NA	797
1	"C11H20N2O6"	"[M - H2O + H]+"	"C11H19N2O5+"	"Amino acids and Peptides"	0.999	"Small peptides"	0.999	"Aminoacids"	0.996	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	1	"Amino acids and derivatives"	1	"Alpha amino acids"	0.992	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Carboxylic acids; Carbonyl compounds; Dialkylamines; Alpha amino acids; Amines; Primary amines; Secondary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	259.129	413	6.883	695995030763817984	695994675107795968	795	NA	795
4	"C33H44N8O10"	"[M + K]+"	"C33H44KN8O10+"	"Amino acids and Peptides"	0.99	"Oligopeptides"	0.999	"Cyclic peptides"	0.628	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.996	"Amino acids, peptides, and analogues"	0.991	"Peptides"	0.911	"Oligopeptides"	0.776	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenols; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Primary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Oligopeptides; Chemical entities"	751.279	413	6.884	695995040674958592	695994675137156096	796	NA	796
3	"C25H22F6N2O6"	"[M - H2O + H]+"	"C25H21F6N2O5+"	"Alkaloids"	0.317	"Ornithine alkaloids"	0.241	"Polyamines"	0.026	"Organic acids and derivatives"	0.987	"Carboxylic acids and derivatives"	0.968	"Amino acids, peptides, and analogues"	0.612	"Amino acids and derivatives"	0.61	"Amino acids and derivatives"	0.61	"Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Alkyl fluorides; Carboxylic acid derivatives; Carboxylic acids; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"	543.133	413	6.884	695995073856098560	695994675221042176	798	NA	798
1	"C18H32O16"	"[M + Na]+"	"C18H32NaO16+"	"Carbohydrates"	1	"Saccharides"	1	"Disaccharides"	0.942	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	1	"Oligosaccharides"	0.908	"Oligosaccharides"	0.908	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Oligosaccharides; Ethers; Primary alcohols; Organooxygen compounds; Hemiacetals; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	527.159	413	6.89	695994998153103104	695994675292345472	799	NA	799
1	"C10H24N2O4"	"[M - H2O + H]+"	"C10H23N2O3+"	"Fatty acids"	0.845	"Small peptides"	0.638	"Sphingoid bases"	0.336	"Organic acids and derivatives"	0.918	"Carboxylic acids and derivatives"	0.867	"Amino acids, peptides, and analogues"	0.744	"Amino acids and derivatives"	0.737	"Alpha amino acid amides"	0.566	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	219.171	416	6.926	695995060765675264	695994675325899904	800	NA	800
1	"C18H32O16"	"[M + Na]+"	"C18H32NaO16+"	"Carbohydrates"	1	"Saccharides"	1	"Disaccharides"	0.993	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	1	"Oligosaccharides"	0.667	"Oligosaccharides"	0.667	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Oligosaccharides; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	527.159	418	6.969	695995077094101248	695994675351065728	801	NA	801
1	"C10H24N2O4"	"[M - H2O + H]+"	"C10H23N2O3+"	"Fatty acids"	0.856	"Small peptides"	0.464	"Sphingoid bases"	0.429	"Organic acids and derivatives"	0.888	"Carboxylic acids and derivatives"	0.837	"Amino acids, peptides, and analogues"	0.714	"Amino acids and derivatives"	0.708	"Alpha amino acids and derivatives"	0.691	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	219.171	423	7.046	695994985335309440	695994675476894848	803	NA	803
2	"C7H11N3O2"	"[M + H]+"	"C7H12N3O2+"	"Amino acids and Peptides"	1	"Small peptides"	1	"Aminoacids"	1	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	1	"Amino acids and derivatives"	1	"Histidine and derivatives"	0.983	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Alpha amino acids; Amines; Primary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	170.093	423	7.05	695995003224016896	695994675585946752	804	NA	804
1	"C6H6N2"	"[M + H3N + H]+"	"C6H10N3+"	"Alkaloids"	0.981	"Nicotinic acid alkaloids"	0.995	"Pyridine alkaloids"	0.995	"Organoheterocyclic compounds"	0.994	"Pyridines and derivatives"	0.929	NA	NA	NA	NA	"Pyridines and derivatives"	0.929	"Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	124.087	423	7.05	695995048287620480	695994675648861312	805	NA	805
1	"C21H23F3N6O3"	"[M + Na]+"	"C21H23F3N6NaO3+"	"Alkaloids"	0.707	"Pseudoalkaloids (transamidation)"	0.175	"Purine alkaloids"	0.043	"Organic oxygen compounds"	1	"Organooxygen compounds"	0.998	"Ethers"	0.789	"Alkyl aryl ethers"	0.685	"Alkyl aryl ethers"	0.685	"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alkyl aryl ethers; Ethers; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl fluorides; Diazines; Organofluorides; Benzene and substituted derivatives; Benzenoids; Amines; Alkyl halides; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	487.166	423	7.055	695995092214567296	695994675741136000	807	NA	807
1	"C23H28N4O7S"	"[M + H3N + H]+"	"C23H32N5O7S+"	"Amino acids and Peptides"	0.646	"Amino acid glycosides"	0.568	"Cyanogenic glycosides"	0.211	"Organic oxygen compounds"	1	"Organooxygen compounds"	0.992	"Carbohydrates and carbohydrate conjugates"	0.964	"Glycosyl compounds"	0.947	"Glycosylamines"	0.521	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; Glycosylamines; Benzene and substituted derivatives; Polyols; Benzenoids; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	522.203	423	7.056	695995044462415232	695994675812439168	808	NA	808
5	"C13H25NO9"	"[M + K]+"	"C13H25KNO9+"	"Carbohydrates"	0.941	"Amino acid glycosides"	0.932	"Cyanogenic glycosides"	0.947	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	0.982	"Glycosyl compounds"	0.786	"O-glycosyl compounds"	0.662	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Amines; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	378.116	423	7.058	695995069850538112	695994675934073984	810	NA	810
1	"C6H14ClNO3"	"[M + H]+"	"C6H15ClNO3+"	"Amino acids and Peptides"	0.958	"Small peptides"	0.919	"Aminoacids"	0.96	"Organic acids and derivatives"	0.915	"Carboxylic acids and derivatives"	0.843	"Amino acids, peptides, and analogues"	0.532	"Amino acids and derivatives"	0.53	"Amino acids and derivatives"	0.53	"Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alkyl chlorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Carbonyl compounds; Amines; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	184.074	424	7.058	695994996353746560	695994675858576512	809	NA	809
1	"C18H32O16"	"[M + Na]+"	"C18H32NaO16+"	"Carbohydrates"	1	"Saccharides"	1	"Disaccharides"	0.929	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	1	"Oligosaccharides"	0.905	"Oligosaccharides"	0.905	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Oligosaccharides; Ethers; Primary alcohols; Organooxygen compounds; Hemiacetals; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	527.159	424	7.065	695995039789960448	695994676072486016	812	NA	812
1	"C23H28N4O7S"	"[M + K]+"	"C23H28KN4O7S+"	"Amino acids and Peptides"	0.957	"Oligopeptides"	0.952	"Cyclic peptides"	0.155	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.988	"Amino acids, peptides, and analogues"	0.944	"Peptides"	0.579	"Peptides"	0.579	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	543.133	424	7.065	695995086061523328	695994676122817664	813	NA	813
2	"C7H12BN3O3S"	"[M + H]+"	"C7H13BN3O3S+"	"Amino acids and Peptides"	0.788	"Small peptides"	0.698	"Aminoacids"	0.607	"Organic acids and derivatives"	0.858	"Boronic acid derivatives"	0.572	"Boronic acids"	0.706	NA	NA	"Boronic acids"	0.706	"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Boronic acids; Organometallic compounds; Boronic acid derivatives; Organometalloid compounds; Organoboron compounds; Organic salts; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	229.08	425	7.086	695995067329761280	695994676168955008	814	NA	814
1	"C7H13N3O2"	"[M + H3N + H]+"	"C7H17N4O2+"	"Amino acids and Peptides"	1	"Small peptides"	1	"Aminoacids"	1	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.997	"Amino acids and derivatives"	0.997	"Alpha amino acids"	0.96	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	189.135	427	7.11	695995056651062912	695994676194120832	815	NA	815
1	"C9H22N2O3"	"[M - H2O + H]+"	"C9H21N2O2+"	"Amino acids and Peptides"	0.994	"Small peptides"	0.99	"Aminoacids"	0.996	"Organic acids and derivatives"	0.998	"Carboxylic acids and derivatives"	0.998	"Amino acids, peptides, and analogues"	0.995	"Amino acids and derivatives"	0.995	"Alpha amino acids"	0.915	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	189.16	433	7.216	695994989059851648	695994676265424000	816	NA	816
1	"C21H23F3N6O3"	"[M + Na]+"	"C21H23F3N6NaO3+"	"Alkaloids"	0.683	"Pseudoalkaloids (transamidation)"	0.192	"Purine alkaloids"	0.085	"Organoheterocyclic compounds"	0.998	"Diazines"	0.788	"Pyrimidines and pyrimidine derivatives"	0.715	"Aminopyrimidines and derivatives"	0.533	"Aminopyrimidines and derivatives"	0.533	"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl fluorides; Aryl fluorides; Aminopyrimidines and derivatives; Diazines; Organofluorides; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Primary amines; Aryl halides; Alkyl halides; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	487.166	433	7.216	695995053350145664	695994676298978432	817	NA	817
1	"C6H13NO3"	"[M - H2O + H]+"	"C6H12NO2+"	"Amino acids and Peptides"	1	"Small peptides"	1	"Aminoacids"	1	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.997	"Amino acids and derivatives"	0.997	"Alpha amino acids"	0.932	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	130.086	433	7.216	695994994587944576	695994676324144256	818	NA	818
1	"C9H20N2O4"	"[M - H2O + H]+"	"C9H19N2O3+"	"Amino acids and Peptides"	0.974	"Small peptides"	0.973	"Aminoacids"	0.963	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.997	"Amino acids and derivatives"	0.997	"Alpha amino acids"	0.953	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	203.14	433	7.217	695994980377641984	695994676361892992	819	NA	819
1	"C27H29ClN2O7S"	"[M - H2O + H]+"	"C27H28ClN2O6S+"	"Alkaloids"	0.33	"Oligopeptides"	0.284	"Depsipeptides"	0.1	"Organohalogen compounds"	1	"Aryl halides"	0.954	"Aryl chlorides"	0.951	NA	NA	"Aryl chlorides"	0.951	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acid derivatives; Organochlorides; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	543.133	433	7.223	695995181951701632	695994676466750592	821	NA	821
1	"C18H32O16"	"[M + Na]+"	"C18H32NaO16+"	"Carbohydrates"	1	"Saccharides"	1	"Disaccharides"	0.948	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	1	"Oligosaccharides"	0.881	"Oligosaccharides"	0.881	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Oligosaccharides; Ethers; Primary alcohols; Organooxygen compounds; Hemiacetals; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	527.159	434	7.226	695995111143461376	695994676575802496	822	NA	822
1	"C8H20N2O3"	"[M - H2O + H]+"	"C8H19N2O2+"	"Amino acids and Peptides"	0.998	"Small peptides"	0.997	"Aminoacids"	0.999	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.998	"Amino acids, peptides, and analogues"	0.997	"Amino acids and derivatives"	0.997	"L-alpha-amino acids"	0.545	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	175.144	434	7.227	695995008496257280	695994676676465792	824	NA	824
2	"C11H18N4O6"	"[M + Na]+"	"C11H18N4NaO6+"	"Carbohydrates"	0.993	"Nucleosides"	0.996	"Purine nucleosides"	0.796	"Nucleosides, nucleotides, and analogues"	0.941	"Imidazole ribonucleosides and ribonucleotides"	0.834	"1-ribosyl-imidazolecarboxamides"	0.739	NA	NA	"1-ribosyl-imidazolecarboxamides"	0.739	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Imidazoles; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; 1-ribosyl-imidazolecarboxamides; Pentoses; Monosaccharides; Secondary alcohols; Imidazole ribonucleosides and ribonucleotides; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Carbonylimidazoles; Tetrahydrofurans; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	325.113	434	7.227	695995009720994176	695994676634522752	823	NA	823
